id,progeny,family,GDDTA_summer,GDDTS_summer,PH_summer,EH_summer,TLN_summer,GDDTA_winter,GDDTS_winter,PH_winter,EH_winter,TLN_winter
210,05CL_2934,B97xCML254,1046.035517,1066.251502,168.0077116,86.98096233,23.44330424,936.0109202,944.459832,134.4745882,70.69026035,19.7227863
211,05CL_2935,B97xCML254,1014.407639,1065.986198,167.9751895,92.79355537,22.73470627,943.9089349,975.0030008,120.5251759,68.10956225,18.87173415
212,05CL_2936,B97xCML254,980.4853939,1046.491862,155.3301021,79.83695875,21.48676451,909.3666183,923.7073321,130.0399514,61.18049606,18.17600526
213,05CL_2939,B97xCML254,1016.694454,1023.872435,180.9637793,96.86200996,22.69370618,919.4677133,902.0165178,125.1673333,60.76768936,17.25521258
214,05CL_2940,B97xCML254,1057.676212,1075.257818,183.4550963,103.4017513,24.10914029,909.5696363,908.8170175,138.3141857,78.51206095,19.60430381
215,05CL_2941,B97xCML254,1050.219303,1098.765201,154.1777494,71.05205375,21.99933047,875.0617897,864.7645469,126.7739821,43.79849123,17.31655118
216,05CL_2942,B97xCML254,989.5015611,1024.54037,165.9162322,87.41695808,23.268753,882.5768656,896.9614325,137.4353536,67.84485354,18.4864908
217,05CL_2943,B97xCML254,1035.792689,1143.194516,140.7951264,67.30395131,21.28714532,897.3362317,936.7192228,116.546018,46.59812691,17.11586793
218,05CL_2944,B97xCML254,997.4181599,1050.005958,148.9321323,74.40237703,22.48014302,891.7710868,925.5110049,122.7757929,61.03021088,18.58481461
219,05CL_2945,B97xCML254,1073.670677,1115.584762,136.9756315,59.83328348,22.08900424,885.0535382,897.1132203,102.9817718,38.73361779,17.14964955
220,05CL_2946,B97xCML254,1003.995403,1056.990507,173.5143337,91.24061282,22.43746566,869.5988125,896.9158693,136.5686661,63.013482,18.00224241
221,05CL_2947,B97xCML254,986.998157,1051.706431,169.8897644,78.19239713,21.61074689,884.5600015,911.6294839,126.9060289,50.45697228,17.29674383
222,05CL_2948,B97xCML254,1044.130843,1110.431379,182.299822,86.68144464,22.40621072,869.0372336,882.2918338,131.8447026,57.15662732,16.88188856
223,05CL_2949,B97xCML254,1008.653031,1051.407525,187.9554538,109.5627767,23.13123578,916.9133645,948.6810704,127.6944245,68.33421729,18.83553184
224,05CL_2951,B97xCML254,975.2069185,1055.423482,152.0929623,71.34719804,20.27360321,850.9062463,883.6846613,108.2053371,41.72931834,16.19428531
225,05CL_2952,B97xCML254,1001.419871,1058.506407,135.148146,52.37011775,19.64919677,901.0875045,934.9252655,115.9667514,46.07695574,15.76447204
226,05CL_2953,B97xCML254,974.170567,1009.537813,164.7807743,80.11791435,22.0261074,861.7155959,866.4665884,131.1025199,54.23025288,17.1423377
227,05CL_2954,B97xCML254,1039.748795,1088.109286,176.4814413,99.53390058,23.31686014,863.5306833,872.2223929,126.145314,60.87597529,17.61181148
228,05CL_2955,B97xCML254,1086.670243,1169.251314,184.1805943,99.06088053,23.58260886,914.9892089,926.7011888,137.4777782,71.28695639,18.94792514
229,05CL_2956,B97xCML254,990.2832198,1035.507174,147.941708,60.92820577,19.32606283,871.191693,889.8160756,126.9700761,55.20433782,17.35842612
230,05CL_2957,B97xCML254,1034.73861,1127.052347,140.2069489,68.49715994,21.42869694,930.0515068,945.778355,105.0019716,41.27583728,17.30285135
231,05CL_2958,B97xCML254,1002.988937,1028.767701,174.097787,96.66681255,22.5383611,889.233565,884.9201536,139.238922,73.59564698,18.80646971
232,05CL_2959,B97xCML254,1182.856244,1276.28889,175.642958,99.38668344,24.48418203,937.361103,966.0173837,132.6607998,68.00945904,20.27725213
233,05CL_2960,B97xCML254,1048.462932,1128.423575,164.079896,79.94103518,22.12218908,882.1456203,894.643294,134.0518782,61.53325259,18.39862589
