id,progeny,DFF2013,DM2013,HT2013,BIO2013,YLKGHA2013,HI2013,x100SDWT2013,DFF2014,DM2014,PHAVG2014,BIO2014,YLKGHA2014,x100SDWT2014,HI2014
978,ICCML11029,54.07181168,103.2956161,38.27191925,259.047699,1266.540283,0.438639492,36.17354584,53.13074493,93.99998474,40.93701172,260.3100586,855.3244629,29.08311272,0.395675391
979,ICCML11032,51.1762619,94.23497772,39.70680237,237.2631836,1910.9198,0.721291125,28.40439224,52.88936996,83.00000763,37.68669891,311.83255,1458.25,30.40110207,0.559492052
980,ICCML11033,51.7507515,96.32593536,40.35823441,246.6666718,1466.52002,0.535164177,22.5175724,50.07710648,85,37.66573715,499.7657166,2362.054443,23.63665199,0.566933215
981,ICCML11034,55.1762619,104.2349777,40.70680237,272.7619324,1366.529785,0.447300434,22.00439262,53.13074493,96.99998474,44.60367966,280.3100586,530.7043457,20.04826927,0.22828801
982,ICCML11035,41.1240387,92.02274323,38.50369644,282.3529968,2244.219971,0.715334654,19.73810387,48.75527191,81,26.42653084,294.7890625,981.4406738,22.35920906,0.401024461
983,ICCML11036,47.50502396,94.26475525,35.73607635,181.285614,1099.889893,0.550514638,18.03142738,51.88936996,90.00000763,38.02003479,551.8325806,2466.763184,20.00869751,0.533200562
984,ICCML11037,47.96735764,92.90145874,37.70620346,187.7778015,1022.120056,0.487896055,25.24611664,51.96982956,92,42.22307587,380.5519409,1951.302124,30.46282768,0.613048017
985,ICCML11038,43.1762619,90.23497772,26.70680428,273.916687,1733.15979,0.565873981,13.28439331,49.75527191,82,33.09319687,359.7890625,1179.36145,13.00160599,0.394912392
986,ICCML11039,39.07181168,89.29561615,47.27191925,313.4445496,2266.440186,0.649398983,33.18354416,48.75527191,82,44.75986481,389.7890625,1999.199951,35.12162781,0.617019236
987,ICCML11040,54.1240387,103.0227432,40.50369644,286.4762573,1566.510132,0.492105484,17.84810448,52.88936996,96.00000763,33.68669891,321.83255,1321.054932,20.03512764,0.490376174
988,ICCML11041,47.96735764,92.90145874,34.3728714,268.1363831,966.5700684,0.322417021,22.15611649,48.13074493,86.99998474,37.60367966,450.3100586,2112.404785,21.10651207,0.564285576
989,ICCML11042,49.1762619,101.2349777,33.37347031,261.0000305,1477.629761,0.505936205,18.64439392,51.15756607,82.00000763,32.60860825,296.3032532,1134.96228,18.29125977,0.464178473
990,ICCML11043,40.07181168,89.29561615,41.27191925,140.0000763,811.0303345,0.519994557,24.2635479,48.13074493,84.99998474,41.93701172,380.3100586,1866.003418,22.9762516,0.59025228
991,ICCML11044,48.01958466,95.08338165,44.86510468,271.9286194,1355.4198,0.442273527,20.14380264,48.07710648,89,38.33240509,469.7657166,2303.661377,24.06326485,0.588217437
992,ICCML11045,36.38516617,99.87113953,30.85196495,373.9998474,2266.440186,0.554586947,19.17503548,50.91618729,85.99999237,34.78617477,330.2099915,1711.232056,19.70683479,0.621405065
993,ICCML11046,41.01958466,96.08338165,42.19843674,328.6957092,2333.099854,0.632515192,21.31380272,50.15756607,83.00000763,29.94194221,296.3032532,1108.556152,23.24945068,0.453611791
994,ICCML11047,53.1240387,100.0227432,42.50369644,212.5714722,1055.450073,0.446826577,26.63810349,59.10392761,86.00000763,33.33282471,201.237442,728.6253052,22.90722275,0.434865117
995,ICCML11048,52.50502396,97.26475525,39.40274429,261.5383606,1677.609863,0.581768274,19.97142792,48.10392761,82.00000763,32.66615677,306.2374573,1454.418213,20.51555634,0.569974184
996,ICCML11049,49.50502396,97.26475525,40.73607635,306.6665649,1622.059937,0.480502307,19.86142731,48.13074493,82.99998474,34.60367966,250.3100433,1150.956177,19.91724014,0.553432286
997,ICCML11050,36.1762619,89.23497772,34.04013824,313.0435181,2177.559814,0.62246877,29.65439224,47.96982956,82,34.55640793,360.5519409,1404.104492,20.07514572,0.464822859
998,ICCML11051,52.01958466,101.0833817,42.53177261,339.52948,1766.489746,0.461921513,20.53380203,56.88936996,96.00000763,37.35336685,351.83255,874.3170776,20.07222748,0.294668138
999,ICCML11052,46.01958466,90.08338165,41.86510468,241.2308502,1888.699707,0.698345661,15.14380264,48.91618729,85.99999237,35.78617477,355.2099915,1614.270874,16.58748817,0.544777274
1000,ICCML11053,53.07181168,99.29561615,32.27191925,212.3077698,955.4603271,0.403638422,21.03354836,52.13074493,85.99998474,37.2703476,455.3100586,2020.275024,21.85975075,0.533785224
1001,ICCML11054,52.1762619,93.23497772,35.37347031,222.4286041,1255.42981,0.504385948,28.35439301,53.10392761,83.00000763,40.99948883,511.2374573,1729.224976,22.81802559,0.404554337
1002,ICCML11055,52.7507515,99.32593536,39.35823441,160.5,977.6800537,0.548315644,31.50757217,50.88936996,90.00000763,31.68670273,266.83255,1048.414063,22.3750515,0.469725817
1003,ICCML11056,48.96735764,91.90145874,33.3728714,250.7143097,1610.949951,0.576302826,16.13611603,53.75527191,94,32.75986481,314.7890625,1103.391846,28.55030632,0.422142565
1004,ICCML11057,49.1240387,93.02274323,37.17036057,251.0000458,1944.250122,0.69712913,25.4981041,48.07710648,83,30.66573715,274.7657166,1261.411743,25.19255257,0.55046773
1005,ICCML11058,40.1762619,95.23497772,31.37347031,225.0000305,1355.4198,0.538579881,15.5843935,49.10392761,83.00000763,31.33282089,286.2374573,1221.927979,14.93222427,0.512216926
