id,progeny,pop,FT_fi_l,FT_ri_l,FT_fi_s,FT_ri_s,GI_fi_s,GS_ri_s,Matruity_fi_s,Matruity_ri_s,GY_fi_s,GY_ri_s,SS_fi_s,SS_ri_s
154,MAGIC172,MAGIC,64,74,39,39,2,2,74,74,2521.36,NA,18.4,22.3
155,MAGIC173,MAGIC,46,48,40,42,2,2,78,85,1529.49,NA,13.6,14
156,MAGIC174,MAGIC,58,67,45,46,2,2,99,99,562.72,NA,12.5,11.7
157,MAGIC175,MAGIC,90,NA,51,46,2,2,96,120,1404.2,NA,8.3,7.5
158,MAGIC176,MAGIC,51,58,41,41,4,2,85,92,1175.22,281.3,12.75,16.9
159,MAGIC177,MAGIC,NA,75,50,48,4,2,99,120,2231.13,NA,17.75,18.3
160,MAGIC178,MAGIC,61,84,53,53,2,2,99,120,981.9,228.91,14.3,13.2
161,MAGIC179,MAGIC,56,56,41,40,2,2,78,85,1250.7,523.84,14.25,17.4
162,MAGIC180,MAGIC,64,63,42,42,2,2,82,85,816.88,366.69,18.6,23.55
163,MAGIC181,MAGIC,59,70,42,44,3,2,109,99,1752.92,120.56,19.1,21.11
164,MAGIC182,MAGIC,74,77,39,38,2,1,74,94,1963.04,559.01,20.55,23.45
165,MAGIC183,MAGIC,74,NA,46,47,3,2,85,99,1330.16,191.34,14.7,16.55
166,MAGIC184,MAGIC,55,60,37,34,2,2,69,65,1122.55,346.14,13.15,12.7
167,MAGIC185,MAGIC,58,70,44,51,2,2,89,120,1717.46,284.82,15.8,17.9
168,MAGIC187,MAGIC,54,56,39,41,3,2,95,120,2099.75,237.95,23.7,28.66
169,MAGIC188,MAGIC,54,63,39,36,3,2,74,65,1784.13,387.04,10.4,12.55
170,MAGIC189,MAGIC,60,67,45,46,3,2,89,99,2008.68,368.03,19.4,17.25
171,MAGIC190,MAGIC,63,76,41,40,3,1,78,74,2411.67,333.16,13.6,15.1
172,MAGIC191,MAGIC,44,46,37,37,2,2,74,82,1699.46,476.78,16.55,22.25
173,MAGIC192,MAGIC,90,87,47,48,3,2,109,120,2338.67,249.43,13.35,15.69
174,MAGIC193,MAGIC,51,56,42,42,3,2,103,82,1538.16,390.08,23.75,30.6
175,MAGIC194,MAGIC,77,70,43,42,2,2,82,72,1635.36,433.1,11.5,13.85
176,MAGIC195,MAGIC,53,63,35,33,2,2,74,86,2162.14,363.1,21.95,23.15
177,MAGIC196,MAGIC,90,75,43,42,3,2,82,85,957.79,541.65,17.6,20.46
178,MAGIC197,MAGIC,51,56,40,42,3,2,78,72,1363.04,603.89,20.55,25.3
179,MAGIC198,MAGIC,56,57,45,44,2,2,89,120,1810.62,810.69,19.85,11.82
180,MAGIC199,MAGIC,47,55,40,38,3,1,78,98,1898.04,565.79,16.25,19.95
181,MAGIC200,MAGIC,46,45,38,36,2,1,78,71,1215.73,427.1,11.65,13.15
182,MAGIC201,MAGIC,47,52,40,39,2,1,85,99,722.94,448.17,19.6,24
183,MAGIC202,MAGIC,44,42,38,35,2,2,78,85,1674.67,407.46,18.2,21.6
184,MAGIC203,MAGIC,64,82,46,43,3,2,89,78,1191.43,322.88,16,16.96
185,MAGIC204,MAGIC,70,69,45,42,3,1,98,120,2169.71,374.13,20.45,22.8
186,MAGIC205,MAGIC,68,84,50,47,3,2,89,96,1575.71,410.56,17.75,22.55
187,MAGIC206,MAGIC,46,51,43,40,3,2,99,74,994.62,257.81,11.6,15.25
188,MAGIC207,MAGIC,60,65,41,39,2,2,99,69,1801.1,593.71,22.15,26.05
189,MAGIC208,MAGIC,64,84,46,45,1,1,109,120,1059.04,75.15,19.54,15.53
190,MAGIC209,MAGIC,60,63,45,43,2,1,98,99,1052.03,159.7,14.95,15.4
191,MAGIC210,MAGIC,55,70,45,46,3,2,109,99,39.14,NA,11.8,16.22
192,MAGIC211,MAGIC,63,63,40,36,3,2,78,69,781.3,487.96,15.15,14.5
193,MAGIC212,MAGIC,54,56,42,44,2,2,99,120,548.37,NA,18.7,20.6
194,MAGIC214,MAGIC,55,56,43,44,3,2,113,120,979.39,NA,25.15,22.3
195,MAGIC216,MAGIC,47,48,40,39,2,2,78,74,1157.58,726.92,15.3,18.7
196,MAGIC217,MAGIC,67,70,46,43,2,2,85,78,1174.67,644.4,14.15,15
197,MAGIC219,MAGIC,47,50,42,39,3,2,85,85,1241.99,NA,21.2,22
198,MAGIC220,MAGIC,65,70,46,45,3,2,89,78,1243.2,739.12,16.3,16.75
199,MAGIC222,MAGIC,56,51,44,43,2,2,99,117,81.81,617.13,12.3,17.85
200,MAGIC223,MAGIC,55,70,50,46,2,2,99,89,426.64,547,10.2,15.8
201,MAGIC224,MAGIC,90,NA,46,44,2,2,99,120,1444.26,228.81,19.45,22.22
202,MAGIC225,MAGIC,48,48,42,42,3,2,78,74,1842.91,544,19.55,23.4
203,MAGIC226,MAGIC,46,46,40,40,2,2,74,85,779.7,558.16,11.2,14.6
204,MAGIC227,MAGIC,45,46,38,36,1,2,78,85,1159.93,758.59,16.95,17.8
205,MAGIC228,MAGIC,63,56,40,39,1,2,78,99,1457.69,621.57,19.4,18.3
206,MAGIC229,MAGIC,45,49,37,36,2,2,74,86,2016.37,831.07,16.05,17.05
207,MAGIC230,MAGIC,52,55,42,40,2,2,78,99,664.23,800.48,18.2,25.7
208,MAGIC231,MAGIC,47,49,42,40,3,2,85,76,975.11,602.42,15.95,21.6
209,MAGIC232,MAGIC,52,51,40,40,2,2,74,85,1740.36,618.47,20.55,22.75
210,MAGIC233,MAGIC,71,77,45,42,2,1,78,99,1300.64,456.49,13.3,17.2
211,MAGIC234,MAGIC,56,70,44,42,3,2,99,103,1098.73,398.46,9.85,8.7
212,MAGIC236,MAGIC,50,47,39,38,2,1,95,106,1654.61,625.94,22.65,23.8
213,MAGIC237,MAGIC,47,54,48,43,3,2,109,99,1606.04,92.77,22.6,21.28
214,MAGIC238,MAGIC,47,46,37,33,2,2,86,65,1103.4,427.29,18.5,17.8
215,MAGIC240,MAGIC,56,55,42,41,3,2,82,69,1278.1,507.01,13.2,14.5
216,MAGIC241,MAGIC,62,63,54,52,2,1,120,99,43.84,61.06,11.17,15.7
217,MAGIC242,MAGIC,47,48,41,39,2,2,85,92,1099.03,406.68,16.8,17.8
218,MAGIC243,MAGIC,62,59,43,40,3,2,99,85,1911.08,427.82,11,11.9
219,MAGIC244,MAGIC,56,62,46,44,3,2,113,92,277.45,433.3,9.3,11.6
220,MAGIC245,MAGIC,45,45,44,35,2,2,96,69,620.95,726.04,15.4,17.7
221,MAGIC246,MAGIC,64,63,41,38,2,2,78,69,954.73,515.4,13.45,14.1
222,MAGIC247,MAGIC,48,47,42,38,4,2,98,94,1273.44,482.84,16.95,18.85
223,MAGIC248,MAGIC,49,48,39,38,2,2,96,103,1994,641.53,21.25,19
224,MAGIC249,MAGIC,45,48,39,37,2,2,96,86,1401.72,639.08,20.85,20.1
225,MAGIC250,MAGIC,48,63,41,40,2,2,85,95,1891.58,527.24,12.3,13.8
226,MAGIC251,MAGIC,70,76,51,51,3,2,89,85,248.55,416.14,NA,19.5
227,MAGIC254,MAGIC,55,58,40,38,2,2,91,82,1231.59,400.81,22.8,23.75
228,MAGIC255,MAGIC,47,53,41,37,2,2,109,78,1096.94,236.68,20.25,15.4
229,MAGIC256,MAGIC,90,82,50,45,2,2,99,113,1787.33,659.53,13.15,17.5
230,MAGIC257,MAGIC,68,68,44,41,4,2,82,72,1236.12,454.07,13.45,17
